,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
12,IDAHO,2000,501621,138637.0,336937.0,13755.0,12292.0,4.6,64310.0,43.0,0.259135176423161,1299430,0.2763779825804741,0.6716963603995846,0.027421100791234818,0.024504556228706533,0.3860315676873706
13,ILLINOIS,2000,4742123,2589026.0,2019421.0,29917.0,103759.0,4.5,78760.0,42.0,0.28598193979193237,12434161,0.5459634851310268,0.42584745271263524,0.006308777735204253,0.021880284421133742,0.3813786068879115
14,INDIANA,2000,2199305,901980.0,1245836.0,32983.0,18506.0,3.0,69870.0,43.0,0.19250291091616986,6091866,0.4101204698757107,0.5664680433136832,0.014997010419200612,0.008414476391405466,0.3610232070107911
15,IOWA,2000,1315563,638517.0,634373.0,13299.0,29374.0,2.7,,45.0,0.22296381994453948,2929067,0.4853564595538184,0.48220647737888644,0.010108979957630307,0.022328083109664835,0.4491406307878925
16,KANSAS,2000,1072216,399276.0,622332.0,14522.0,36086.0,3.7,70200.0,43.0,0.275183229385115,2693681,0.3723839226424526,0.580416632469577,0.013543912793690823,0.03365553209427951,0.3980486182291073
17,KENTUCKY,2000,1544187,638898.0,872492.0,9605.0,23192.0,4.2,62010.0,43.0,0.17291285923797595,4049021,0.4137439312725726,0.5650170607575378,0.006220101580961373,0.015018906388928284,0.3813729294068863
18,LOUISIANA,2000,1765656,792344.0,927871.0,24968.0,20473.0,5.1,52520.0,42.0,0.2323770623872132,4471885,0.44875332454339917,0.5255106317425365,0.01414091986207959,0.011595123851984758,0.3948348403413773
19,MAINE,2000,651817,319951.0,286616.0,8123.0,37127.0,3.3,63720.0,46.0,0.2369208723299449,1277072,0.4908601647394898,0.43971850994987854,0.012462086751342786,0.05695923855928888,0.5103995702669857
20,MARYLAND,2000,2025480,1145782.0,813797.0,12133.0,53768.0,3.6,93240.0,43.0,0.2813309172363713,5311034,0.5656841835021822,0.4017798250291289,0.0059901850425578135,0.02654580642613109,0.38137206427223025
21,MASSACHUSETTS,2000,2702984,1616487.0,878502.0,34431.0,173564.0,2.8,79940.0,43.0,0.299156720938073,6361104,0.5980379462105584,0.3250119127601199,0.012738144213950212,0.06421199681537146,0.4249237239321979
22,MICHIGAN,2000,4232711,2170418.0,1953139.0,24989.0,84165.0,3.6,77820.0,43.0,0.24569261860178113,9952450,0.5127725469563124,0.46143925252633594,0.005903781288162598,0.019884419229189047,0.42529336997422745
23,MINNESOTA,2000,2438685,1168266.0,1109659.0,34064.0,126696.0,3.1,92760.0,43.0,0.31218652464345226,4933692,0.479055720603522,0.4550235065209324,0.013968183672758065,0.051952589202787565,0.4942921041686429
